

----- New session! -----

               | Pressure         | Humidity        | TempOutside      | TempTop      | TempCamera      | DewPoint      
Time: 08:34:29 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:30 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:31 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:32 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:33 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:34 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:35 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:36 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:37 | Pressure: 1011.4 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:38 | Pressure: 1011.4 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:39 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:40 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:41 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:42 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:43 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:44 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:45 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:46 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:47 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:48 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:49 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:50 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:51 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:52 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:53 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:54 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:55 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:56 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:57 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:58 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:59 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:00 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:01 | Pressure: 1011.2 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:02 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:03 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:04 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:05 | Pressure: 1011.2 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:06 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:07 | Pressure: 1011.2 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:08 | Pressure: 1011.2 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:09 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:10 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:11 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:12 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:13 | Pressure: 1011.2 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:14 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:15 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:16 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:17 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:18 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:19 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:20 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:21 | Pressure: 1011.2 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:22 | Pressure: 1011.2 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:23 | Pressure: 1011.2 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:24 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:35:25 | Pressure: 1011.3 | Humidity: 44.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
